EGR1,ASCL1
HES1,ASCL1
JUN,ASCL1
JUND,ASCL1
RORB,ASCL1
SIX1,ASCL1
BACH1,BACH1
EHF,BACH1
JUND,BACH1
RUNX1,BACH1
TCF4,BACH1
TEAD1,BACH1
ASCL1,BACH2
BACH2,BACH2
NFIB,BACH2
TEAD1,BACH2
EHF,CUX2
JUND,CUX2
MEIS2,CUX2
NFIB,CUX2
RORA,CUX2
RUNX1,CUX2
TFDP1,CUX2
EHF,EGR1
JUND,EGR1
MEIS2,EGR1
NFIB,EGR1
RORA,EGR1
RUNX1,EGR1
TFDP1,EGR1
EHF,EHF
NFIB,EHF
RUNX1,EHF
FOS,EPCAM
HES1,EPCAM
JUN,EPCAM
NR6A1,EPCAM
STAT1,EPCAM
TCF4,EPCAM
BACH2,ETS1
FOS,ETS1
NFIX,ETS1
TCF4,ETS1
ASCL1,FOS
EGR1,FOS
JUN,FOS
REST,FOS
RORA,FOS
RUNX1,FOS
TEAD1,FOS
TFDP1,FOS
FOS,FOXO3
FOXO3,FOXO3
MEIS2,FOXO3
RORA,FOXO3
SOX9,FOXO3
GRHL2,GRHL2
NFIA,GRHL2
NFIB,GRHL2
RUNX1,GRHL2
TCF4,GRHL2
ASCL1,HES1
HES1,HES1
JUND,HES1
NFIB,HES1
RORA,HES1
RUNX1,HES1
EGR1,HSF2
NFYC,HSF2
TCF4,HSF2
TEAD1,HSF2
TFDP1,HSF2
ZEB1,HSF2
EGR1,ICAM1
MEIS2,ICAM1
NFIA,ICAM1
RORA,ICAM1
RUNX1,ICAM1
STAT1,ICAM1
EGR1,JUN
EHF,JUN
FOS,JUN
JUNB,JUN
RUNX1,JUN
TCF4,JUN
EGR1,JUNB
PROX1,JUNB
TEAD1,JUNB
ASCL1,LMX1B
EGR1,LMX1B
JUND,LMX1B
MEIS2,LMX1B
ASCL1,MEIS2
EGR1,MEIS2
REST,MEIS2
RUNX1,MEIS2
EGR1,NCAM1
MEIS2,NCAM1
NFIA,NCAM1
NFIX,NCAM1
NFYC,NCAM1
RUNX1,NCAM1
TFDP1,NCAM1
ASCL1,NFATC2
JUN,NFATC2
MEIS2,NFATC2
EHF,NFIA
MEIS2,NFIA
NFIA,NFIA
NFIB,NFIA
NFIX,NFIA
RUNX1,NFIA
STAT1,NFIA
TCF4,NFIA
ASCL1,NFIB
HSF2,NFIB
PKNOX2,NFIB
STAT1,NFIB
TCF4,NFIB
TCF7L1,NFIB
THRB,NFIB
ZEB1,NFIB
HSF2,NFIX
NFATC2,NFIX
RORA,NFIX
RUNX1,NFIX
STAT1,NFIX
ASCL1,PBX1
EHF,PBX1
NFIB,PBX1
PBX1,PBX1
RUNX1,PBX1
RBPJ,PKNOX2
REST,PKNOX2
STAT1,PKNOX2
TCF7L1,PKNOX2
TCF7L2,PKNOX2
NFATC2,PROX1
RBPJ,PROX1
ASCL1,REST
HES1,REST
REST,REST
SOX9,REST
ASCL1,RORB
FOXO3,RORB
GRHL2,RORB
LMX1B,RORB
NFIA,RORB
FOS,RUNX1
JUND,RUNX1
NFIB,RUNX1
PBX1,RUNX1
RUNX1,RUNX1
STAT1,RUNX1
TCF7L2,RUNX1
TEAD1,RUNX1
EHF,SIX1
REST,SIX1
RORA,SIX1
RUNX1,SIX1
SIX1,SIX1
TCF4,SIX1
ASCL1,SMAD3
EHF,SMAD3
PBX1,SMAD3
REST,SMAD3
RUNX1,SMAD3
BACH1,SOX11
CREB1,SOX11
JUN,SOX11
SMAD3,SOX11
ESR1,TBX15
GRHL2,TBX15
NFATC2,TBX15
NFIA,TBX15
NFIX,TBX15
SIX1,TBX15
ASCL1,TCF7L1
EHF,TCF7L1
NFIA,TCF7L1
NFIB,TCF7L1
REST,TCF7L1
RUNX1,TCF7L1
EGR1,TCF7L2
MEIS2,TCF7L2
NFIA,TCF7L2
PROX1,TCF7L2
TCF7L2,TCF7L2
TFDP1,TCF7L2
EGR1,TEAD1
EHF,TEAD1
NFIB,TEAD1
PBX1,TEAD1
RUNX1,TEAD1
TCF4,TEAD1
SIX1,THRB
THRB,THRB
